timestamp,lineId,directionId,pointId,istop_id,distanceFromPoint,et,bus_id
1631607342603,95,4318,4315,24,91,2021-09-14 08:15:42.603,7
1631607374967,95,4318,6354,5,193,2021-09-14 08:16:14.967,13
1631607374967,95,4318,6433,6,40,2021-09-14 08:16:14.967,11
1631607374967,95,4318,4305,13,315,2021-09-14 08:16:14.967,10
1631607374967,95,4318,4306,14,0,2021-09-14 08:16:14.967,8
1631607374967,95,4318,4307,15,6,2021-09-14 08:16:14.967,12
1631607374967,95,4318,4310,19,452,2021-09-14 08:16:14.967,6
1631607406554,95,4318,6354,5,193,2021-09-14 08:16:46.554,13
1631607406554,95,4318,1729,7,53,2021-09-14 08:16:46.554,11
1631607406554,95,4318,4305,13,315,2021-09-14 08:16:46.554,10
1631607406554,95,4318,4306,14,261,2021-09-14 08:16:46.554,8
1631607406554,95,4318,4307,15,6,2021-09-14 08:16:46.554,12
